student_id,subject,mean_score,min_score,max_score,test_count,attendance_pct,study_hours,trend,label
1,English,67.4,55,77,5,79.97,2.36,-22,0
1,Math,41.75,28,50,4,79.97,2.36,-3,1
1,Physics,52.75,47,60,4,79.97,2.36,10,0
2,English,53.0,44,59,5,77.33,2.62,15,0
2,Math,47.0,35,60,3,77.33,2.62,25,0
2,Physics,79.33333333333333,67,85,6,77.33,2.62,3,0
3,English,38.333333333333336,24,48,3,75.68,1.08,-24,1
3,Math,28.0,21,35,2,75.68,1.08,14,1
3,Physics,38.0,26,50,6,75.68,1.08,7,1
4,English,40.0,35,46,3,68.98,4.35,-4,0
4,Math,31.6,24,38,5,68.98,4.35,-11,1
4,Physics,65.0,55,83,3,68.98,4.35,26,0
5,English,56.0,55,57,2,77.19,3.38,-2,0
5,Math,69.6,66,74,5,77.19,3.38,-6,0
5,Physics,61.666666666666664,50,65,6,77.19,3.38,-13,0
6,English,26.4,21,32,5,68.23,3.11,-8,1
6,Math,33.75,31,38,4,68.23,3.11,-7,1
6,Physics,31.0,25,44,4,68.23,3.11,-1,1
7,English,54.833333333333336,46,66,6,73.22,2.09,-8,0
7,Math,60.166666666666664,49,75,6,73.22,2.09,-11,0
7,Physics,58.25,51,65,4,73.22,2.09,-14,0
8,English,62.5,47,73,6,71.01,2.44,-5,0
8,Math,62.833333333333336,49,75,6,71.01,2.44,23,0
8,Physics,49.166666666666664,40,65,6,71.01,2.44,-3,0
9,English,67.5,65,70,2,60.33,3.39,-5,0
9,Math,40.666666666666664,31,49,6,60.33,3.39,2,1
9,Physics,56.75,42,71,4,60.33,3.39,-24,1
10,English,85.5,79,92,2,77.96,2.76,-13,0
10,Math,35.75,23,52,4,77.96,2.76,-11,1
10,Physics,79.0,72,84,3,77.96,2.76,3,0
11,English,47.2,37,66,5,66.54,1.68,25,0
11,Math,29.0,21,33,3,66.54,1.68,0,1
11,Physics,64.0,64,64,2,66.54,1.68,0,0
12,English,41.5,35,48,2,74.65,1.33,13,0
12,Math,43.6,30,51,5,74.65,1.33,0,1
12,Physics,59.0,48,69,6,74.65,1.33,-5,0
13,English,50.5,49,52,2,70.84,3.36,-3,0
13,Math,47.0,35,58,5,70.84,3.36,-19,0
13,Physics,62.4,55,72,5,70.84,3.36,7,0
14,English,32.6,23,45,5,71.43,3.06,4,1
14,Math,52.0,45,57,5,71.43,3.06,2,0
14,Physics,23.5,16,31,2,71.43,3.06,15,1
15,English,67.8,51,78,5,87.99,1.63,9,0
15,Math,50.75,34,57,4,87.99,1.63,-23,1
15,Physics,32.6,28,41,5,87.99,1.63,-9,1
16,English,54.0,41,65,5,93.66,2.97,-17,0
16,Math,61.5,55,75,6,93.66,2.97,17,0
16,Physics,29.8,22,38,5,93.66,2.97,9,1
17,English,29.25,20,34,4,74.89,2.91,9,1
17,Math,53.5,41,70,4,74.89,2.91,-1,0
17,Physics,75.8,61,89,5,74.89,2.91,15,0
18,English,64.8,47,75,5,72.77,3.21,-19,0
18,Math,76.5,74,79,2,72.77,3.21,5,0
18,Physics,71.0,62,80,2,72.77,3.21,-18,0
19,English,52.666666666666664,42,66,3,65.74,1.99,16,0
19,Math,79.0,77,81,2,65.74,1.99,4,0
19,Physics,70.75,67,77,4,65.74,1.99,1,0
20,English,31.833333333333332,21,45,6,83.72,3.57,-17,1
20,Math,78.25,68,90,4,83.72,3.57,16,0
20,Physics,70.33333333333333,66,73,3,83.72,3.57,6,0
21,English,50.666666666666664,45,55,3,84.54,3.15,-7,0
21,Math,50.0,38,64,5,84.54,3.15,8,0
21,Physics,64.75,60,68,4,84.54,3.15,-4,0
